Minute,Player,Squad,xG,Outcome
16,Dejan Lovren,Croatia,0.01,Off Target
25,Enzo Fernández,Argentina,0.03,Saved
31,Ivan Perišić,Croatia,0.03,Off Target
34,Lionel Messi (pen),Argentina,0.79,Goal
39,Julián Álvarez,Argentina,0.62,Goal
41,Rodrigo De Paul,Argentina,0.06,Blocked
42,Alexis Mac Allister,Argentina,0.1,Saved
45,Luka Modrić,Croatia,0.06,Blocked
45,Mario Pašalić,Croatia,0.1,Off Target
49,Leandro Paredes,Argentina,0.03,Saved
58,Lionel Messi,Argentina,0.14,Saved
58,Mislav Oršić,Croatia,0.02,Blocked
62,Dejan Lovren,Croatia,0.1,Blocked
69,Julián Álvarez,Argentina,0.39,Goal
73,Ivan Perišić,Croatia,0.04,Saved
75,Ivan Perišić,Croatia,0.01,Off Target
78,Mislav Oršić,Croatia,0.03,Off Target
83,Alexis Mac Allister,Argentina,0.19,Off Target
89,Lovro Majer,Croatia,0.03,Saved
93,Nikola Vlašić,Croatia,0.03,Off Target
95,Dejan Lovren,Croatia,0.04,Off Target